year,importer1,importer2,flow1,flow2
1890,United Kingdom,Italy,14.85,
1890,France,Italy,23.2,
1890,United Kingdom,Denmark,37.22,
1890,Netherlands,Russia,44.54,
1890,Germany,Sweden,15.89,
1890,France,Russia,37.09,
1890,United States of America,Italy,21.67,
1890,Austria-Hungary,Italy,15.56,
1890,Switzerland,Italy,31.23,
1890,Argentina,France,7.59,
1890,United States of America,Haiti,19.3,
1890,Germany,Denmark,14.36,
1890,Chile,United Kingdom,15.02,
1890,Bolivia,United Kingdom,15.02,
1890,United States of America,China,19.32,
1890,United Kingdom,Switzerland,20.26,
1890,France,Turkey,16.12,
1890,United States of America,Switzerland,14.11,
1890,United Kingdom,Romania,21.34,
1890,Switzerland,Austria-Hungary,19.47,
1890,United Kingdom,Austria-Hungary,8.29,
1890,Austria-Hungary,Russia,16.16,
1890,All Other Trade,All Other Trade,12.42,
1890,All Other Trade,All Other Trade,4.92,
1890,All Other Trade,All Other Trade,14.12,
1890,All Other Trade,All Other Trade,4.49,
1890,All Other Trade,All Other Trade,22.12,
1890,All Other Trade,All Other Trade,12.07,
1890,All Other Trade,All Other Trade,21.53,
1890,All Other Trade,All Other Trade,2.47,
1890,All Other Trade,All Other Trade,10.94,
1890,All Other Trade,All Other Trade,11.9,
1890,All Other Trade,All Other Trade,12.32,
1890,All Other Trade,All Other Trade,16.32,
1890,All Other Trade,All Other Trade,19.14,
1890,All Other Trade,All Other Trade,4.21,
1890,All Other Trade,All Other Trade,9.42,
1890,All Other Trade,All Other Trade,8.49,
1890,All Other Trade,All Other Trade,9.61,
1890,All Other Trade,All Other Trade,6.26,
1890,All Other Trade,All Other Trade,3.93,
1890,All Other Trade,All Other Trade,11.59,
1890,All Other Trade,All Other Trade,6.03,
1890,All Other Trade,All Other Trade,8.16,
1890,All Other Trade,All Other Trade,7.42,
1890,All Other Trade,All Other Trade,1.71,
1890,All Other Trade,All Other Trade,9.15,
1890,All Other Trade,All Other Trade,5.94,
1890,All Other Trade,All Other Trade,9.8,
1890,All Other Trade,All Other Trade,4.01,
1890,All Other Trade,All Other Trade,9.95,
1890,All Other Trade,All Other Trade,10.18,
1890,All Other Trade,All Other Trade,5.09,
1890,All Other Trade,All Other Trade,3.23,
1890,All Other Trade,All Other Trade,8.73,
1890,All Other Trade,All Other Trade,5.39,
1890,All Other Trade,All Other Trade,3.74,
1890,All Other Trade,All Other Trade,3.29,
1890,All Other Trade,All Other Trade,4.83,
1890,All Other Trade,All Other Trade,5.97,
1890,All Other Trade,All Other Trade,4.76,
1890,All Other Trade,All Other Trade,6.9,
1890,All Other Trade,All Other Trade,1.64,
1890,All Other Trade,All Other Trade,6.33,
1890,All Other Trade,All Other Trade,2.26,
1890,All Other Trade,All Other Trade,6.59,
1890,All Other Trade,All Other Trade,2.94,
1890,All Other Trade,All Other Trade,2.35,
1890,All Other Trade,All Other Trade,5.6,
1890,All Other Trade,All Other Trade,0.82,
1890,All Other Trade,All Other Trade,4.9,
1890,All Other Trade,All Other Trade,7.15,
1890,All Other Trade,All Other Trade,3.32,
1890,All Other Trade,All Other Trade,4.65,
1890,All Other Trade,All Other Trade,5.49,
1890,All Other Trade,All Other Trade,4.32,
1890,All Other Trade,All Other Trade,6.9,
1890,All Other Trade,All Other Trade,3.44,
1890,All Other Trade,All Other Trade,6.86,
1890,All Other Trade,All Other Trade,3.24,
1890,All Other Trade,All Other Trade,3.2,
1890,All Other Trade,All Other Trade,4.72,
1890,All Other Trade,All Other Trade,3.27,
1890,All Other Trade,All Other Trade,3.39,
1890,All Other Trade,All Other Trade,3.69,
1890,All Other Trade,All Other Trade,3.97,
1890,All Other Trade,All Other Trade,5.06,
1890,All Other Trade,All Other Trade,0.84,
1890,All Other Trade,All Other Trade,2.35,
1890,All Other Trade,All Other Trade,2.55,
1890,All Other Trade,All Other Trade,2.55,
1890,All Other Trade,All Other Trade,3.67,
1890,All Other Trade,All Other Trade,1.48,
1890,All Other Trade,All Other Trade,0,
1890,All Other Trade,All Other Trade,1.54,
1890,All Other Trade,All Other Trade,4.22,
1890,All Other Trade,All Other Trade,1.65,
1890,All Other Trade,All Other Trade,2.77,
1890,All Other Trade,All Other Trade,0,
1890,All Other Trade,All Other Trade,3.68,
1890,All Other Trade,All Other Trade,2.8,
1890,All Other Trade,All Other Trade,1.49,
1890,All Other Trade,All Other Trade,0.54,
1890,All Other Trade,All Other Trade,1.77,
1890,All Other Trade,All Other Trade,1.61,
1890,All Other Trade,All Other Trade,1.02,
1890,All Other Trade,All Other Trade,2.62,
1890,All Other Trade,All Other Trade,2.53,
1890,All Other Trade,All Other Trade,0.05,
